Applications	CEF Code	NBR Version	Kit Code	Remarks (Compatibility - years - notes)	Manufacturer	Application Type
115TLRD (2005)	500371		6N6-W0078-02-00	2-stroke. Year 2005. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
115TLRR (1993)	500371		6N6-W0078-00-00	2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
115TLRS (1994)	500371		6N6-W0078-00-00	2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
115TLRT (1995)	500371		6N6-W0078-00-00	2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
115TLRU (1996)	500371		6N6-W0078-00-00	2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
115TLRY (2000)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
115TLRZ (2001)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
115TXR (405)	500371		6N6-W0078-02-00	2-stroke. Apr 2005. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
115TXRA (2002)	500371		6N6-W0078-02-00	2-stroke. Year 2002. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
115TXRB (2003)	500371		6N6-W0078-02-00	2-stroke. Year 2003. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
115TXRC (2004)	500371		6N6-W0078-02-00	2-stroke. Year 2004. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
115TXRD (2005)	500371		6N6-W0078-02-00	2-stroke. Year 2005. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
115TXRR (1993)	500371		6N6-W0078-00-00	2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
115TXRS (1994)	500371		6N6-W0078-00-00	2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
115TXRT (1995)	500371		6N6-W0078-00-00	2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
115TXRY (2000)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
115TXRZ (2001)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
130 (<=1992)	500371		6E5-W0078-A1-00	2-stroke. Up to 1992 or older. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
130TLRA (2002)	500371		6N6-W0078-02-00	2-stroke. Year 2002. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
130TLRB (2003)	500371		6N6-W0078-02-00	2-stroke. Year 2003. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
130TLRC (2004)	500371		6N6-W0078-02-00	2-stroke. Year 2004. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
130TLRR (1993)	500371		6N6-W0078-00-00	2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
130TLRS (1994)	500371		6N6-W0078-00-00	2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
130TLRT (1995)	500371		6N6-W0078-00-00	2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
130TLRU (1996)	500371		6N6-W0078-00-00	2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
130TLRY (2000)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
130TLRZ (2001)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
130TXRA (2002)	500371		6N6-W0078-02-00	2-stroke. Year 2002. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
130TXRB (2003)	500371		6N6-W0078-02-00	2-stroke. Year 2003. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
130TXRC (2004)	500371		6N6-W0078-02-00	2-stroke. Year 2004. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
130TXRR (1993)	500371		6N6-W0078-00-00	2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
130TXRS (1994)	500371		6N6-W0078-00-00	2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
130TXRT (1995)	500371		6N6-W0078-00-00	2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
130TXRY (2000)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
130TXRZ (2001)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
15 (<= 1995)	500320		682-W0078-A1-00	Up to 1995. OEM code: 682-44352-03-00. OEM kit: 682-W0078-A1-00.	YAMAHA	Outboard Engines
15 (>=1996)	500363		63V-W0078-02-00	Year >= 1996. Possibly 2- or 4-stroke. OEM code: 63V-44352-01-00.	YAMAHA	Outboard Engines
15 (no year)	500371		6E5-W0078-A1-00	2-stroke. No specific year. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
150~225 (1996)	500371		61A-W0078-A1-00	2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
150TJRY (2000)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
150TLRY (2000)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
150TXR (405)	500371			2-stroke. Year: Apr 2005. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
150TXR (406)	500371			2-stroke. Year: Apr 2006. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
150TXR (407)	500371			2-stroke. Year: Apr 2007. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
150TXR (408)	500371			2-stroke. Year: Apr 2008. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
150TXR (509)	500371			2-stroke. Year: May 2009. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
150TXRA (2002)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
150TXRB (2003)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
150TXRC (2004)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
150TXRD (2005)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
150TXRY (2000)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
150TXRZ (2001)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
175TLRY (2000)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
175TXRY (2000)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
20 (2-stroke), 25 (2-cylinder 2-stroke)	500384		6L2-W0078-00-00	2-stroke outboards. Year >1991, OEM code: 6L2-44352-00-00. OEM kit: 6L2-W0078-00-00.	YAMAHA	Outboard Engines
200TLRV (1997)	500371		61A-W0078-A4-00	OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
200TLRW (1998)	500371		61A-W0078-A4-00	OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
225 (≥1992)	500371		61A-W0078-A4-00	2-stroke. Broad range from 1992 onward. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
225TLRV (1997)	500371		61A-W0078-A4-00	OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
25 (1996~2002)	500385		6J8-W0078-A2-00	3-cylinder 2-stroke. OEM code: 6H4-44352-02-00. OEM kit: 6J8-W0078-A2-00.	YAMAHA	Outboard Engines
250 (≥1992)	500371		61A-W0078-A4-00	Could be 2-stroke or 4-stroke. Broad range from 1992 onward. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
3 (1988~2002)	500321		6L5-W0078-00-00	2-stroke. Production 1988–2002. OEM code: 6L5-44352-00-00.	YAMAHA	Outboard Engines
30 (<= 1995)	500385		6J8-W0078-A1-00	2-stroke. Up to 1995. OEM code: 6H4-44352-02-00. OEM kit: 6J8-W0078-A1-00.	YAMAHA	Outboard Engines
30 (1996~2002)	500385		6J8-W0078-A2-00	3-cylinder 2-stroke. OEM code: 6H4-44352-02-00. OEM kit: 6J8-W0078-A2-00.	YAMAHA	Outboard Engines
4, 5 (<=1996)	500325		6E0-W0078-A2-00	2-stroke. Year <=1996. OEM code: 6E0-44352-00-00. (Yamaha 4/5 HP 2T up to 1996.)	YAMAHA	Outboard Engines
4, 5 (no year)	500325		6E0-W0078-A3-00	4-stroke. For Yamaha 4/5 HP. OEM code: 6E0-44352-00-00.	YAMAHA	Outboard Engines
40EJRT (1995)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
40EJRU (1996)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
40EJRV (1997)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
40EJRW (1998)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
40EJRX (1999)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
40ELRT (1995)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
40ELRU (1996)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
40ELRV (1997)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
40ELRW (1998)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
40ESRT (1995)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
40ESRU (1996)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
40ESRV (1997)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
40ESRW (1998)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
40ESRX (1999)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
40MJHT (1995)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
40MJHU (1996)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
40MJHV (1997)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
40MJHW (1998)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
40MJHX (1999)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
40MJHY (2000)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
40MJHZ (2001)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
40MLHT (1995)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
40MLHU (1996)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
40MLHV (1997)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
40MLHW (1998)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
40MLHX (1999)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
40MLHY (2000)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
40MLHZ (2001)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
40MSHT (1995)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
40MSHU (1996)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
40MSHV (1997)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
40MSHW (1998)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
40MSHX (1999)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
40TLHU (1996)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
40TLHV (1997)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
40TLR (405)	500316			April 2005. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
40TLRA (2002)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
40TLRB (2003)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
40TLRC (2004)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
40TLRD (2005)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
40TLRNC (2004)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
40TLRT (1995)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
40TLRU (1996)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
40TLRV (1997)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
40TLRW (1998)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
40TLRX (1999)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
40TLRY (2000)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
40TLRZ (2001)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
50EJRT (1995)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
50EJRU (1996)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
50EJRV (1997)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
50EJRW (1998)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
50EJRX (1999)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
50EJRY (2000)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
50EJRZ (2001)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
50ELRT (1995)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
50ELRV (1997)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
50ELRW (1998)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
50TLHT (1995)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
50TLHU (1996)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
50TLHV (1997)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
50TLR (405)	500316			April 2005. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
50TLR (406)	500316			April 2006. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
50TLR (407)	500316			April 2007. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
50TLR (408)	500316			April 2008. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
50TLR (409)	500316			April 2009. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
50TLRA (2002)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
50TLRB (2003)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
50TLRC (2004)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
50TLRD (2005)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
50TLRNC (2004)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
50TLRU (1996)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
50TLRV (1997)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
50TLRZ (2001)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
60TLRA (2002)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
60TLRB (2003)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
60TLRZ (2001)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
70ETLD (1990)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
70ETLDA (1990)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
70ETLF (1989)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
70ETLG (1988)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
70ETLH (1987)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
70ETLJ (1986)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
70ETLK (1985)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
70ETLN (1984)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
70TLRA (2002)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
70TLRB (2003)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
70TLRP (1991)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
70TLRQ (1992)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
70TLRR (1993)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
70TLRS (1994)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
70TLRT (1995)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
70TLRU (1996)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
70TLRV (1997)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
70TLRW (1998)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
70TLRX (1999)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
70TLRY (2000)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
70TLRZ (2001)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
9.9 (<= 1995)	500320		682-W0078-A1-00	Up to 1995. OEM code: 682-44352-03-00. OEM kit: 682-W0078-A1-00.	YAMAHA	Outboard Engines
9.9 (>=1996)	500363		63V-W0078-02-00	Year >= 1996. Possibly 2- or 4-stroke. OEM code: 63V-44352-01-00.	YAMAHA	Outboard Engines
90 (1984~1991)	500323			2-stroke. From 1984 to 1991. OEM code: 688-44352-03-00.	YAMAHA	Outboard Engines
90 (1992~1996)	500323			2-stroke. From 1992 to 1996. OEM code: 688-44352-03-00.	YAMAHA	Outboard Engines
C115	500371		6E5-W0078-A1-00	2-stroke. (No specific year). OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
C115 (>=1997)	500371		6N6-W0078-02-00	2-stroke. Year >= 1997. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
C115 (no year)	500371		6E5-W0078-A1-00	2-stroke. No specific year. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
C115TLRR (1993)	500371		6N6-W0078-00-00	2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
C115TLRS (1994)	500371		6N6-W0078-00-00	2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
C115TLRT (1995)	500371		6N6-W0078-00-00	2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
C115TLRU (1996)	500371		6N6-W0078-00-00	2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
C115TLRY (2000)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
C115TXRR (1993)	500371		6N6-W0078-00-00	2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
C115TXRS (1994)	500371		6N6-W0078-00-00	2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
C115TXRT (1995)	500371		6N6-W0078-00-00	2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
C115TXRU (1996)	500371		6N6-W0078-00-00	2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
C115TXRY (2000)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
C150 (1996)	500371		61A-W0078-A1-00	2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
C150 (1997~1999)	500371		61A-W0078-A4-00	2-stroke or 4-stroke. Year range 1997–1999. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
C25 (1990~1997)	500326		689-W0078-A6-00	2-stroke. Produced 1990 to 1997. OEM code: 689-44352-02-00. OEM kit: 689-W0078-A6-00.	YAMAHA	Outboard Engines
C30 (1990~1992)	500326		689-W0078-A6-00	2-stroke. Produced 1990 to 1992. OEM code: 689-44352-02-00. OEM kit: 689-W0078-A6-00.	YAMAHA	Outboard Engines
C30 (1993~1997)	500385		61N-W0078-11-00	2-stroke. Production 1993–1997. OEM code: 63V-44352-01-00.	YAMAHA	Outboard Engines
C40 (1991~1997)	500352			2-stroke. From 1991 to 1997. OEM code: 6F5-44352-00-00.	YAMAHA	Outboard Engines
C40 (1998~2003)	500316			2-stroke. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
C40TLRA (2002)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
C40TLRB (2003)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
C40TLRV (1997)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
C40TLRW (1998)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
C40TLRX (1999)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
C40TLRY (2000)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
C40TLRZ (2001)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
C50	500316			2-stroke. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
C50TLRW (1998)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
C50TLRX (1999)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
C50TLRY (2000)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
C50TLRZ (2001)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
C55 (1990~1991)	500316			2-stroke. From 1990 to 1991. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
C55 (1992~1994)	500316			2-stroke. From 1992 to 1994. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
C60	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
C60, E60, P60, 70 (1992~1996)	500316			2-stroke. From 1992 to 1996. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
C60ELRU (1996)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
C60TLRU (1996)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
C60TLRV (1997)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
C60TLRW (1998)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
C60TLRX (1999)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
C60TLRY (2000)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
C60TLRZ (2001)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
C70 (1997~2003)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
C70TLRY (2000)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
C70TLRZ (2001)	500316			OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
C75 (1994~1996)	500323			2-stroke. From 1994 to 1996. OEM code: 688-44352-03-00.	YAMAHA	Outboard Engines
C85	500323			2-stroke. OEM code: 688-44352-03-00.	YAMAHA	Outboard Engines
C85 (1991)	500323			2-stroke. Year: 1991. OEM code: 688-44352-03-00.	YAMAHA	Outboard Engines
CV40 (1990)	500352			2-stroke. Year: 1990. OEM code: 6F5-44352-00-00.	YAMAHA	Outboard Engines
CV85 (1989~1990)	500323			2-stroke. From 1989 to 1990. OEM code: 688-44352-03-00.	YAMAHA	Outboard Engines
DX150TLRA (2002)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
DX150TLRB (2003)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
DX150TLRC (2004)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
DX150TLRD (2005)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
DX150TLRX (1999)	500371			2-stroke. Year: 1999. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
DX150TLRY (2000)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
DX150TLRZ (2001)	500371			2-stroke. OEM code: 6E5-44352-01-00.	YAMAHA	Outboard Engines
E48 (1995~2000)	500316			2-stroke. From 1995 to 2000. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
E60 (1997~2000)	500316			2-stroke. From 1997 to 2000. OEM code: 6H3-44352-00-00.	YAMAHA	Outboard Engines
