GIRANTE_OEM,KIT,MODELLO,CODICE_ANNO,SIGNIFICATO_ANNO,NOTE
6CE-44352-00-00,,LF300UCA,0116,"Gennaio 2016 (≥2014)","4T"
6CE-44352-00-00,,LF300UCA,0210,"Febbraio 2010","4T"
6CE-44352-00-00,,LF300UCA,_0112,"Gennaio 2012","4T"
6CE-44352-00-00,,LF300UCA,_0411,"Aprile 2011","4T"
6CE-44352-00-00,,LF300XCA,0113,"Gennaio 2013","4T"
6CE-44352-00-00,,LF300XCA,0114,"Gennaio 2014 (≥2014)","4T"
6CE-44352-00-00,,LF300XCA,0115,"Gennaio 2015 (≥2014)","4T"
6CE-44352-00-00,,LF300XCA,0116,"Gennaio 2016 (≥2014)","4T"
6CE-44352-00-00,,LF300XCA,0210,"Febbraio 2010","4T"
6CE-44352-00-00,,LF300XCA,_0112,"Gennaio 2012","4T"
6CE-44352-00-00,,LF300XCA,_0411,"Aprile 2011","4T"
6CE-44352-00-00,,VF250XA,0115,"Gennaio 2015 (≥2014)","4T"
6CE-44352-00-00,,VF250XA,0116,"Gennaio 2016 (≥2014)","4T"
GIRANTE_OEM;KIT;MODELLO;CODICE_ANNO;SIGNIFICATO_ANNO;NOTE
6L5-44352-00-00;6L5-W0078-00-00;3;1988~2002;Produzione 2T dal 1988 al 2002;2T
6CE-44352-00-00;;F225NCA;0114;Gennaio 2014 (≥2014);4T
6CE-44352-00-00;;F225NCA;0115;Gennaio 2015 (≥2014);4T
6CE-44352-00-00;;F225NCA;0116;Gennaio 2016 (≥2014);4T
6CE-44352-00-00;;F225XB;0616;Giugno 2016 (≥2014);4T
6CE-44352-00-00;;F225XCA;0113;Gennaio 2013;4T
6CE-44352-00-00;;F225XCA;0114;Gennaio 2014 (≥2014);4T
6CE-44352-00-00;;F225XCA;0115;Gennaio 2015 (≥2014);4T
6CE-44352-00-00;;F225XCA;0116;Gennaio 2016 (≥2014);4T
6CE-44352-00-00;;F225XCA;0210;Febbraio 2010;4T
6CE-44352-00-00;;F225XCA;_0112;Gennaio 2012;4T
6CE-44352-00-00;;F225XCA;_0411;Aprile 2011;4T
6CE-44352-00-00;;F250DET1X;0210;Febbraio 2010;4T
6CE-44352-00-00;;F250NCA;0114;Gennaio 2014 (≥2014);4T
6CE-44352-00-00;;F250NCA;0115;Gennaio 2015 (≥2014);4T
6CE-44352-00-00;;F250NCA;0116;Gennaio 2016 (≥2014);4T
6CE-44352-00-00;;F250UCA;0113;Gennaio 2013;4T
6CE-44352-00-00;;F250UCA;0114;Gennaio 2014 (≥2014);4T
6CE-44352-00-00;;F250UCA;0115;Gennaio 2015 (≥2014);4T
6CE-44352-00-00;;F250UCA;0116;Gennaio 2016 (≥2014);4T
6CE-44352-00-00;;F250UCA;0210;Febbraio 2010;4T
6CE-44352-00-00;;F250UCA;_0112;Gennaio 2012;4T
6CE-44352-00-00;;F250UCA;_0411;Aprile 2011;4T
6CE-44352-00-00;;F250XB;;Nessuna codifica anno;4T
6CE-44352-00-00;;F250XCA;0113;Gennaio 2013;4T
6CE-44352-00-00;;F250XCA;0114;Gennaio 2014 (≥2014);4T
6CE-44352-00-00;;F250XCA;0115;Gennaio 2015 (≥2014);4T
6CE-44352-00-00;;F250XCA;0116;Gennaio 2016 (≥2014);4T
6CE-44352-00-00;;F250XCA;0210;Febbraio 2010;4T
6CE-44352-00-00;;F250XCA;_0112;Gennaio 2012;4T
6CE-44352-00-00;;F250XCA;_0411;Aprile 2011;4T
6CE-44352-00-00;;F300BET1U;0210;Febbraio 2010;4T
6CE-44352-00-00;;F300BETU;0116;Gennaio 2016 (≥2014);4T
6CE-44352-00-00;;F300BETX;0116;Gennaio 2016 (≥2014);4T
6CE-44352-00-00;;F300NCA;0114;Gennaio 2014 (≥2014);4T
6CE-44352-00-00;;F300NCA;0115;Gennaio 2015 (≥2014);4T
6CE-44352-00-00;;F300NCA;0116;Gennaio 2016 (≥2014);4T
6CE-44352-00-00;;F300UCA;0113;Gennaio 2013;4T
6CE-44352-00-00;;F300UCA;0114;Gennaio 2014 (≥2014);4T
6CE-44352-00-00;;F300UCA;0115;Gennaio 2015 (≥2014);4T
6CE-44352-00-00;;F300UCA;0116;Gennaio 2016 (≥2014);4T
6CE-44352-00-00;;F300UCA;0210;Febbraio 2010;4T
6CE-44352-00-00;;F300UCA;_0112;Gennaio 2012;4T
6CE-44352-00-00;;F300UCA;_0411;Aprile 2011;4T
6CE-44352-00-00;;F300XCA;0113;Gennaio 2013;4T
6CE-44352-00-00;;F300XCA;0114;Gennaio 2014 (≥2014);4T
6CE-44352-00-00;;F300XCA;0115;Gennaio 2015 (≥2014);4T
6CE-44352-00-00;;F300XCA;0116;Gennaio 2016 (≥2014);4T
6CE-44352-00-00;;F300XCA;0210;Febbraio 2010;4T
6CE-44352-00-00;;F300XCA;_0112;Gennaio 2012;4T
6CE-44352-00-00;;F300XCA;_0411;Aprile 2011;4T
6CE-44352-00-00;;FL250DET1X;0210;Febbraio 2010;4T
6CE-44352-00-00;;FL300BET1U;0210;Febbraio 2010;4T
6CE-44352-00-00;;FL300BET1X;0210;Febbraio 2010;4T
6CE-44352-00-00;;FL300BETU;0116;Gennaio 2016 (≥2014);4T
6CE-44352-00-00;;FL300BETX;0116;Gennaio 2016 (≥2014);4T
6CE-44352-00-00;;LF225XB;0616;Giugno 2016 (≥2014);4T
6CE-44352-00-00;;LF225XCA;0113;Gennaio 2013;4T
6CE-44352-00-00;;LF225XCA;0114;Gennaio 2014 (≥2014);4T
6CE-44352-00-00;;LF225XCA;0115;Gennaio 2015 (≥2014);4T
6CE-44352-00-00;;LF225XCA;0116;Gennaio 2016 (≥2014);4T
6CE-44352-00-00;;LF225XCA;0210;Febbraio 2010;4T
6CE-44352-00-00;;LF225XCA;_0112;Gennaio 2012;4T
6CE-44352-00-00;;LF225XCA;_0411;Aprile 2011;4T
6CE-44352-00-00;;LF250UCA;0113;Gennaio 2013;4T
6CE-44352-00-00;;LF250UCA;0114;Gennaio 2014 (≥2014);4T
6CE-44352-00-00;;LF250UCA;0115;Gennaio 2015 (≥2014);4T
6CE-44352-00-00;;LF250UCA;0116;Gennaio 2016 (≥2014);4T
6CE-44352-00-00;;LF250UCA;0210;Febbraio 2010;4T
6CE-44352-00-00;;LF250UCA;_0112;Gennaio 2012;4T
6CE-44352-00-00;;LF250UCA;_0411;Aprile 2011;4T
6CE-44352-00-00;;LF250XB;0616;Giugno 2016 (≥2014);4T
6CE-44352-00-00;;LF250XCA;0113;Gennaio 2013;4T
6CE-44352-00-00;;LF250XCA;0114;Gennaio 2014 (≥2014);4T
6CE-44352-00-00;;LF250XCA;0115;Gennaio 2015 (≥2014);4T
6CE-44352-00-00;;LF250XCA;0116;Gennaio 2016 (≥2014);4T
6CE-44352-00-00;;LF250XCA;0210;Febbraio 2010;4T
6CE-44352-00-00;;LF250XCA;_0112;Gennaio 2012;4T
6CE-44352-00-00;;LF250XCA;_0411;Aprile 2011;4T
6CE-44352-00-00;;LF300UCA;0113;Gennaio 2013;4T
6CE-44352-00-00;;LF300UCA;0114;Gennaio 2014 (≥2014);4T
6CE-44352-00-00;;LF300UCA;0115;Gennaio 2015 (≥2014);4T
6CE-44352-00-00;;LF300UCA;0116;Gennaio 2016 (≥2014);4T
6CE-44352-00-00;;LF300UCA;0210;Febbraio 2010;4T
6CE-44352-00-00;;LF300UCA;_0112;Gennaio 2012;4T
6CE-44352-00-00;;LF300UCA;_0411;Aprile 2011;4T
6CE-44352-00-00;;LF300XCA;0113;Gennaio 2013;4T
6CE-44352-00-00;;LF300XCA;0114;Gennaio 2014 (≥2014);4T
6CE-44352-00-00;;LF300XCA;0115;Gennaio 2015 (≥2014);4T
6CE-44352-00-00;;LF300XCA;0116;Gennaio 2016 (≥2014);4T
6CE-44352-00-00;;LF300XCA;0210;Febbraio 2010;4T
6CE-44352-00-00;;LF300XCA;_0112;Gennaio 2012;4T
6CE-44352-00-00;;LF300XCA;_0411;Aprile 2011;4T
6CE-44352-00-00;;VF250XA;0115;Gennaio 2015 (≥2014);4T
6CE-44352-00-00;;VF250XA;0116;Gennaio 2016 (≥2014);4T
GIRANTE_OEM;KIT;MODELLO;ANNO;NOTE
6L5-44352-00-00;6L5-W0078-00-00;3;1988~2002;2T

6CE-44352-00-00;;F225NCA;0114;4T
6CE-44352-00-00;;F225NCA;0115;4T
6CE-44352-00-00;;F225NCA;0116;4T
6CE-44352-00-00;;F225XB;0616;4T
6CE-44352-00-00;;F225XCA;0113;4T
6CE-44352-00-00;;F225XCA;0114;4T
6CE-44352-00-00;;F225XCA;0115;4T
6CE-44352-00-00;;F225XCA;0116;4T
6CE-44352-00-00;;F225XCA;0210;4T
6CE-44352-00-00;;F225XCA;_0112;4T
6CE-44352-00-00;;F225XCA;_0411;4T
6CE-44352-00-00;;F250DET1X;0210;4T
6CE-44352-00-00;;F250NCA;0114;4T
6CE-44352-00-00;;F250NCA;0115;4T
6CE-44352-00-00;;F250NCA;0116;4T
6CE-44352-00-00;;F250UCA;0113;4T
6CE-44352-00-00;;F250UCA;0114;4T
6CE-44352-00-00;;F250UCA;0115;4T
6CE-44352-00-00;;F250UCA;0116;4T
6CE-44352-00-00;;F250UCA;0210;4T
6CE-44352-00-00;;F250UCA;_0112;4T
6CE-44352-00-00;;F250UCA;_0411;4T
6CE-44352-00-00;;F250XB;;4T
6CE-44352-00-00;;F250XCA;0113;4T
6CE-44352-00-00;;F250XCA;0114;4T
6CE-44352-00-00;;F250XCA;0115;4T
6CE-44352-00-00;;F250XCA;0116;4T
6CE-44352-00-00;;F250XCA;0210;4T
6CE-44352-00-00;;F250XCA;_0112;4T
6CE-44352-00-00;;F250XCA;_0411;4T
6CE-44352-00-00;;F300BET1U;0210;4T
6CE-44352-00-00;;F300BETU;0116;4T
6CE-44352-00-00;;F300BETX;0116;4T
6CE-44352-00-00;;F300NCA;0114;4T
6CE-44352-00-00;;F300NCA;0115;4T
6CE-44352-00-00;;F300NCA;0116;4T
6CE-44352-00-00;;F300UCA;0113;4T
6CE-44352-00-00;;F300UCA;0114;4T
6CE-44352-00-00;;F300UCA;0115;4T
6CE-44352-00-00;;F300UCA;0116;4T
6CE-44352-00-00;;F300UCA;0210;4T
6CE-44352-00-00;;F300UCA;_0112;4T
6CE-44352-00-00;;F300UCA;_0411;4T
6CE-44352-00-00;;F300XCA;0113;4T
6CE-44352-00-00;;F300XCA;0114;4T
6CE-44352-00-00;;F300XCA;0115;4T
6CE-44352-00-00;;F300XCA;0116;4T
6CE-44352-00-00;;F300XCA;0210;4T
6CE-44352-00-00;;F300XCA;_0112;4T
6CE-44352-00-00;;F300XCA;_0411;4T
6CE-44352-00-00;;FL250DET1X;0210;4T
6CE-44352-00-00;;FL300BET1U;0210;4T
6CE-44352-00-00;;FL300BET1X;0210;4T
6CE-44352-00-00;;FL300BETU;0116;4T
6CE-44352-00-00;;FL300BETX;0116;4T
6CE-44352-00-00;;LF225XB;0616;4T
6CE-44352-00-00;;LF225XCA;0113;4T
6CE-44352-00-00;;LF225XCA;0114;4T
6CE-44352-00-00;;LF225XCA;0115;4T
6CE-44352-00-00;;LF225XCA;0116;4T
6CE-44352-00-00;;LF225XCA;0210;4T
6CE-44352-00-00;;LF225XCA;_0112;4T
6CE-44352-00-00;;LF225XCA;_0411;4T
6CE-44352-00-00;;LF250UCA;0113;4T
6CE-44352-00-00;;LF250UCA;0114;4T
6CE-44352-00-00;;LF250UCA;0115;4T
6CE-44352-00-00;;LF250UCA;0116;4T
6CE-44352-00-00;;LF250UCA;0210;4T
6CE-44352-00-00;;LF250UCA;_0112;4T
6CE-44352-00-00;;LF250UCA;_0411;4T
6CE-44352-00-00;;LF250XB;0616;4T
6CE-44352-00-00;;LF250XCA;0113;4T
6CE-44352-00-00;;LF250XCA;0114;4T
6CE-44352-00-00;;LF250XCA;0115;4T
6CE-44352-00-00;;LF250XCA;0116;4T
6CE-44352-00-00;;LF250XCA;0210;4T
6CE-44352-00-00;;LF250XCA;_0112;4T
6CE-44352-00-00;;LF250XCA;_0411;4T
6CE-44352-00-00;;LF300UCA;0113;4T
6CE-44352-00-00;;LF300UCA;0114;4T
6CE-44352-00-00;;LF300UCA;0115;4T
6CE-44352-00-00;;LF300UCA;0116;4T
6CE-44352-00-00;;LF300UCA;0210;4T
6CE-44352-00-00;;LF300UCA;_0112;4T
6CE-44352-00-00;;LF300UCA;_0411;4T
6CE-44352-00-00;;LF300XCA;0113;4T
6CE-44352-00-00;;LF300XCA;0114;4T
6CE-44352-00-00;;LF300XCA;0115;4T
6CE-44352-00-00;;LF300XCA;0116;4T
6CE-44352-00-00;;LF300XCA;0210;4T
6CE-44352-00-00;;LF300XCA;_0112;4T
6CE-44352-00-00;;LF300XCA;_0411;4T
6CE-44352-00-00;;VF250XA;0115;4T
6CE-44352-00-00;;VF250XA;0116;4T
GIRANTE_OEM;KIT;MODELLO;ANNO;NOTE
6E5-44352-01-00;6N6-W0078-00-00;115TJRR;1993;2T
6E5-44352-01-00;6N6-W0078-00-00;115TJRS;1994;2T
6E5-44352-01-00;6N6-W0078-00-00;115TJRT;1995;2T
6E5-44352-01-00;6N6-W0078-00-00;115TJRU;1996;2T
6E5-44352-01-00;6N6-W0078-00-00;115TLRR;1993;2T
6E5-44352-01-00;6N6-W0078-00-00;115TLRS;1994;2T
6E5-44352-01-00;6N6-W0078-00-00;115TLRT;1995;2T
6E5-44352-01-00;6N6-W0078-00-00;115TLRU;1996;2T
6E5-44352-01-00;6N6-W0078-00-00;115TXRR;1993;2T
6E5-44352-01-00;6N6-W0078-00-00;115TXRS;1994;2T
6E5-44352-01-00;6N6-W0078-00-00;115TXRT;1995;2T
6E5-44352-01-00;6N6-W0078-00-00;130TLRR;1993;2T
6E5-44352-01-00;6N6-W0078-00-00;130TLRS;1994;2T
6E5-44352-01-00;6N6-W0078-00-00;130TLRT;1995;2T
6E5-44352-01-00;6N6-W0078-00-00;130TLRU;1996;2T
6E5-44352-01-00;6N6-W0078-00-00;130TXRR;1993;2T
6E5-44352-01-00;6N6-W0078-00-00;130TXRS;1994;2T
6E5-44352-01-00;6N6-W0078-00-00;130TXRT;1995;2T
6E5-44352-01-00;6N6-W0078-00-00;C115TLRR;1993;2T
6E5-44352-01-00;6N6-W0078-00-00;C115TLRS;1994;2T
6E5-44352-01-00;6N6-W0078-00-00;C115TLRT;1995;2T
6E5-44352-01-00;6N6-W0078-00-00;C115TLRU;1996;2T
6E5-44352-01-00;6N6-W0078-00-00;C115TXRR;1993;2T
6E5-44352-01-00;6N6-W0078-00-00;C115TXRS;1994;2T
6E5-44352-01-00;6N6-W0078-00-00;C115TXRT;1995;2T
6E5-44352-01-00;6N6-W0078-00-00;C115TXRU;1996;2T
6E5-44352-01-00;6N6-W0078-00-00;L130TXRR;1993;2T
6E5-44352-01-00;6N6-W0078-00-00;L130TXRS;1994;2T
6E5-44352-01-00;6N6-W0078-00-00;L130TXRT;1995;2T
6E5-44352-01-00;6N6-W0078-00-00;L130TXRU;1996;2T
6E5-44352-01-00;6N6-W0078-00-00;P115TLRR;1993;2T
6E5-44352-01-00;6N6-W0078-00-00;P115TLRS;1994;2T
6E5-44352-01-00;6N6-W0078-00-00;P115TLRT;1995;2T
6E5-44352-01-00;6N6-W0078-00-00;P115TLRU;1996;2T
6E5-44352-01-00;6N6-W0078-00-00;S115TLRU;1996;2T
6E5-44352-01-00;6N6-W0078-00-00;S115TXRU;1996;2T
6E5-44352-01-00;6N6-W0078-00-00;S130TLRU;1996;2T
6E5-44352-01-00;6N6-W0078-00-00;S130TXRU;1996;2T

6E5-44352-01-00;6N6-W0078-02-00;F115;2000~2001;4T
6E5-44352-01-00;6N6-W0078-02-00;115;;2T
6E5-44352-01-00;6N6-W0078-02-00;C115;>=1997;2T
6E5-44352-01-00;6N6-W0078-02-00;115TLR;0405;2T
6E5-44352-01-00;6N6-W0078-02-00;115TLR;0406;2T
6E5-44352-01-00;6N6-W0078-02-00;115TLR;0407;2T
6E5-44352-01-00;6N6-W0078-02-00;115TLR;0408;2T
6E5-44352-01-00;6N6-W0078-02-00;115TLR;0509;2T
6E5-44352-01-00;6N6-W0078-02-00;115TLRA;2002;2T
6E5-44352-01-00;6N6-W0078-02-00;115TLRB;2003;2T
6E5-44352-01-00;6N6-W0078-02-00;115TLRC;2004;2T
6E5-44352-01-00;6N6-W0078-02-00;115TLRD;2005;2T
6E5-44352-01-00;6N6-W0078-02-00;115TXR;0405;2T
6E5-44352-01-00;6N6-W0078-02-00;115TXRA;2002;2T
6E5-44352-01-00;6N6-W0078-02-00;115TXRB;2003;2T
6E5-44352-01-00;6N6-W0078-02-00;115TXRC;2004;2T
6E5-44352-01-00;6N6-W0078-02-00;115TXRD;2005;2T
6E5-44352-01-00;6N6-W0078-02-00;130TLRA;2002;2T
6E5-44352-01-00;6N6-W0078-02-00;130TLRB;2003;2T
6E5-44352-01-00;6N6-W0078-02-00;130TLRC;2004;2T
6E5-44352-01-00;6N6-W0078-02-00;130TXRA;2002;2T
6E5-44352-01-00;6N6-W0078-02-00;130TXRB;2003;2T
6E5-44352-01-00;6N6-W0078-02-00;130TXRC;2004;2T
6E5-44352-01-00;6N6-W0078-02-00;F115TLRY;2000;4T
6E5-44352-01-00;6N6-W0078-02-00;F115TLRZ;2001;4T
6E5-44352-01-00;6N6-W0078-02-00;F115TXRY;2000;4T
6E5-44352-01-00;6N6-W0078-02-00;F115TXRZ;2001;4T
6E5-44352-01-00;6N6-W0078-02-00;LF115TXRY;2000;4T
6E5-44352-01-00;6N6-W0078-02-00;LF115TXRZ;2001;4T

6E5-44352-01-00;6E5-W0078-A1-00;15;;2T
6E5-44352-01-00;6E5-W0078-A1-00;C115;;2T
6E5-44352-01-00;6E5-W0078-A1-00;130;<=1992;2T

6E5-44352-01-00;60X-W0078-00-00;VZ200 (3.1L);;2T
6E5-44352-01-00;60X-W0078-00-00;VZ225~VZ300;>=2003;2T

6E5-44352-01-00;61A-W0078-A1-00;P150;1992~1996;2T
6E5-44352-01-00;61A-W0078-A1-00;P175;1994~1996;2T
6E5-44352-01-00;61A-W0078-A1-00;P200;1991~1996;2T
6E5-44352-01-00;61A-W0078-A1-00;C150;1996;2T
6E5-44352-01-00;61A-W0078-A1-00;150~225;1996;2T
6E5-44352-01-00;61A-W0078-A1-00;L150~L250;1996;2T
6E5-44352-01-00;61A-W0078-A1-00;S150~S250;1996;2T

6E5-44352-01-00;61A-W0078-A3-00;(Ampia gamma 150~300 HP 2T/4T);>=1992;"Include F150, F200, F225, S/X/V/VZ, ecc. Vedi elenco dettagliato"
6E5-44352-01-00;61A-W0078-A4-00;(Ampia gamma 150~300 HP 2T/4T);>=1992;"Include F150, F200, F225, S/X/V/VZ, ecc. Vedi elenco dettagliato"

6E5-44352-01-00;6P2-W0078-00-00;F250, F250B (e vari LF / LZ / Z);>=2004;"Include F225, LF225/250, LZ300, Z300 ecc. Vedi elenco dettagliato"
