"Applications","CEF","NBR Version","Kit","Remarks","Company","Application Type","OEM Impeller Code"
"BF100A (100 hp, 2015–present)","500337","Yes","06192-ZW1-000²","Variant introduced ~2015 (derived from BF90D, EU market)","CEF","Outboard_Engines","19210-ZW1-B04​"
"BF115A (115 hp, 1998–2011)","500337","Yes","06192-ZW1-000²","4-cylinder 2.0L carburetor (shared with BF75/90A, BF130A)","CEF","Outboard_Engines","19210-ZW1-B04​"
"BF115D (115 hp, 2012–present)","500392","Yes","06192-ZY6-000²","4-cylinder 2.4L EFI (derived from BF150A, introduced ~2012)","CEF","Outboard_Engines","19210-ZY3-003​"
"BF130A (130 hp, 1998–2003)","500337","Yes","06192-ZW1-000²","4-cylinder 2.0L carburetor (replaced by BF135 in 2004)","CEF","Outboard_Engines","19210-ZW1-B04​"
"BF135A (135 hp, 2004–present)","500391¹","Yes","06192-ZY6-000²","4-cylinder 2.4L EFI (shared with BF150A)","CEF","Outboard_Engines","19210-ZY3-003​"
"BF150A (150 hp, 2004–present)","500391¹","Yes","06192-ZY6-000²","4-cylinder 2.4L EFI (shared with BF135A and BF115D)","CEF","Outboard_Engines","19210-ZY3-003​"
"BF175A (175 hp, 2003–2017)","500391¹","Yes","06192-ZY3-000²","V6 3.5L SOHC VTEC (shared with BF200A/BF225A)","CEF","Outboard_Engines","19210-ZY3-003​"
"BF175D (175 hp, 2018–present)","500391¹","Yes","06193-ZY3-010²","Updated V6 3.5L (2018, shares impeller with BF200D/225D)","CEF","Outboard_Engines","19210-ZY3-003​"
"BF200A (200 hp, 2003–2017)","500391¹","Yes","06192-ZY3-000²","V6 3.5L SOHC VTEC (shared with BF225A)","CEF","Outboard_Engines","19210-ZY3-003​"
"BF200D (200 hp, 2018–present)","500391¹","Yes","06193-ZY3-010²","Updated V6 3.5L (2018, shares impeller with BF175D/225D)","CEF","Outboard_Engines","19210-ZY3-003​"
"BF225A (225 hp, 2003–2017)","500391¹","Yes","06192-ZY3-000²","V6 3.5L SOHC VTEC (first series, 2003–2017)","CEF","Outboard_Engines","19210-ZY3-003​"
"BF225D (225 hp, 2018–present)","500391¹","Yes","06193-ZY3-010²","Updated V6 3.5L (2018, shares impeller with BF175D/200D)","CEF","Outboard_Engines","19210-ZY3-003​"
"BF250A (250 hp, 2012–2017)","500391¹","Yes","06193-ZX2-C00²","V6 3.6L SOHC VTEC (first series, 2012–2017)","CEF","Outboard_Engines","19210-ZY3-003​"
"BF250D (250 hp, 2018–present)","500391¹","Yes","06193-ZX2-C02²","V6 3.6L with iST/DBW (2018, shares impeller with BF175D/225D)","CEF","Outboard_Engines","19210-ZY3-003​"
