Id,Applications,Cef,NBR Version,Kit,Remarks,Manufacturer,Tipologia Appplicazione,Applications_note
"783","PUMP/POMPA F5B-302","500107GT","500207GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24210-3"
"784","PUMP/POMPA F5B-3020","500107GT","500207GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24210-3"
"785","PUMP/POMPA F5B-8","500107GT","500207GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24073-1"
"786","PUMP/POMPA F5B-8","500107GT","500207GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24073-10"
"787","PUMP/POMPA F5B-8","500107GT","500207GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24073-11"
"788","PUMP/POMPA F5B-8","500107GT","500207GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24073-12"
"789","PUMP/POMPA F5B-8","500107GT","500207GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24073-9"
"790","PUMP/POMPA F5B-8007","500107GT","500207GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24073-51"
"791","PUMP/POMPA F5B-9","500107GT","500207GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24100-1"
"792","PUMP/POMPA F5B-9","500107GT","500207GT","RK0005",,"JOHNSON PUMP","INBOARD_ENGINES","10-24119-2"
"793","PUMP/POMPA F5B-9","500107GT","500207GT","RK0005",,"JOHNSON PUMP","INBOARD_ENGINES","10-24119-3"
"794","PUMP/POMPA F5B-9","500107GT","500207GT","RK0005",,"JOHNSON PUMP","INBOARD_ENGINES","10-24119-4"
"795","PUMP/POMPA F5B-9","500107GT","500207GT","RK0005",,"JOHNSON PUMP","INBOARD_ENGINES","10-24119-7"
"796","PUMP/POMPA F5B-9","500107GT","500207GT","RK0005",,"JOHNSON PUMP","INBOARD_ENGINES","10-24119-8"
"797","PUMP/POMPA F5B-9","500107GT","500207GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24140-1"
"798","PUMP/POMPA F5B-9","500107GT","500207GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24140-3"
"799","PUMP/POMPA F5B-9","500107GT","500207GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24140-5"
"800","PUMP/POMPA F5B-9","500107GT","500207GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24184-1"
"801","PUMP/POMPA F5B-9","500107GT","500207GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24210-1"
"802","PUMP/POMPA F5B-9","500107GT","500207GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24225-1"
"803","PUMP/POMPA F5B-9","500107GT","500207GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24228-1"
"804","PUMP/POMPA F5B-9","500107GT","500207GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24228-5"
"805","PUMP/POMPA F5B-9","500107GT","500207GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24228-6"
"806","PUMP/POMPA F5B-9","500107GT","500207GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24230-3"
"807","PUMP/POMPA F5B-9","500107GT","500207GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24268-4"
"808","PUMP/POMPA F5B-9","500107GT","500207GT","RK0005",,"JOHNSON PUMP","INBOARD_ENGINES","10-24334-01"
"809","PUMP/POMPA F5B-9","500107GT","500207GT","RK0005",,"JOHNSON PUMP","INBOARD_ENGINES","10-24334-02"
"810","PUMP/POMPA F5B-9","500107GT","500207GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24372-01"
"811","PUMP/POMPA F5B-9","500107GT","500207GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24451-01"
"812","PUMP/POMPA F5B-9","500107GT","500207GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24461-01"
"813","PUMP/POMPA F5B-9","500107GT","500207GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24508-01"
"814","PUMP/POMPA F5B-9","500107GT","500207GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24508-02"
"815","PUMP/POMPA F5B-9","500170CG",,,,"JOHNSON PUMP","INBOARD_ENGINES","10-32058-1"
"816","PUMP/POMPA F5B-9","500107GT","500207GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-32256-1"
"817","PUMP/POMPA F5B-9","500170CG",,,,"JOHNSON PUMP","INBOARD_ENGINES","10-32621-2"
"818","PUMP/POMPA F5B-9","500107GT","500207GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-35100-1"
"819","PUMP/POMPA F5B-9","500107GT","500207GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-35231-1"
"820","PUMP/POMPA F5B-9","500107GT","500207GT","RK0005",,"JOHNSON PUMP","INBOARD_ENGINES","10-35327-1"
"821","PUMP/POMPA F5B-9001","500107GT","500207GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24119-1"
"822","PUMP/POMPA F5B-9002","500107GT","500207GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24119-2"
"823","PUMP/POMPA F5B-9003","500107GT","500207GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24119-4"
"824","PUMP/POMPA F5B-9004","500107GT","500207GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24119-5"
"825","PUMP/POMPA F5B-9005","500107GT","500207GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24119-6"
"826","PUMP/POMPA F5B-9006","500107GT","500207GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24119-7"
"827","PUMP/POMPA F5B-902","500107GT","500207GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24131-1"
"828","PUMP/POMPA F5B-902","500107GT","500207GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24140-2"
"829","PUMP/POMPA F5B-902","500107GT","500207GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24225-2"
"830","PUMP/POMPA F5B-902","500107GT","500207GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24230-2"
"831","PUMP/POMPA F5B-902","500107GT","500207GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24268-2"
"832","PUMP/POMPA F5B-902","500170CG",,,,"JOHNSON PUMP","INBOARD_ENGINES","10-32621-3"
"833","PUMP/POMPA F5B-9022","500107GT","500207GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24119-2"
"834","PUMP/POMPA F5B-903","500107GT","500207GT","RK0005",,"JOHNSON PUMP","INBOARD_ENGINES","10-35327-03"
"835","PUMP/POMPA F5B-905","500107GT","500207GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-13159-03"
"836","PUMP/POMPA F5B-905","500107GT","500207GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-13159-04"
"837","PUMP/POMPA F5B-905","500107GT","500207GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-13159-05"
"838","PUMP/POMPA F5B-905","500107GT","500207GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-13159-06"
"839","PUMP/POMPA F5B-905","500107GT","500207GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24131-2"
"840","PUMP/POMPA F5B-905","500107GT","500207GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24131-4"
"841","PUMP/POMPA F5B-905","500107GT","500207GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24318-01"
"842","PUMP/POMPA F6B-9","500124",,,,"JOHNSON PUMP","INBOARD_ENGINES","10-24232-1"
"843","PUMP/POMPA F6B-9","500124",,,,"JOHNSON PUMP","INBOARD_ENGINES","10-24232-5"
"844","PUMP/POMPA F6B-9","500124",,,,"JOHNSON PUMP","INBOARD_ENGINES","10-24232-6"
"845","PUMP/POMPA F6B-9","500124",,,,"JOHNSON PUMP","INBOARD_ENGINES","10-24234-1"
"846","PUMP/POMPA F6B-9","500124",,,,"JOHNSON PUMP","INBOARD_ENGINES","10-24302-01"
"847","PUMP/POMPA F6B-9","500124",,,,"JOHNSON PUMP","INBOARD_ENGINES","10-24302-02"
"848","PUMP/POMPA F6B-9","500124",,,,"JOHNSON PUMP","INBOARD_ENGINES","10-24316-01"
"849","PUMP/POMPA F6B-9","500124",,,,"JOHNSON PUMP","INBOARD_ENGINES","10-24412-02"
"850","PUMP/POMPA F6B-9","500124",,,,"JOHNSON PUMP","INBOARD_ENGINES","10-24432-02"
"851","PUMP/POMPA F6B-9","500124",,,,"JOHNSON PUMP","INBOARD_ENGINES","10-24493-02"
"852","PUMP/POMPA F6B-9","500124",,,,"JOHNSON PUMP","INBOARD_ENGINES","10-24515-01"
"853","PUMP/POMPA F7B-3","500106GT","500206GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-22045-1"
"854","PUMP/POMPA F7B-3000","500106GT","500206GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24209-1"
"855","PUMP/POMPA F7B-30007","500106GT","500206GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24209-7"
"856","PUMP/POMPA F7B-303","500106GT","500206GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24209-3"
"857","PUMP/POMPA F7B-5","500106GT","500206GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24116-"
"858","PUMP/POMPA F7B-5000","500106GT","500206GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24116-99"
"859","PUMP/POMPA F7B-5001","500106GT","500206GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24071-99"
"860","PUMP/POMPA F7B-5007","500106GT","500206GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24116-98"
"861","PUMP/POMPA F7B-8","500106GT","500206GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24070-1"
"862","PUMP/POMPA F7B-8","500106GT","500206GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24070-10"
"863","PUMP/POMPA F7B-8","500106GT","500206GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24070-9"
"864","PUMP/POMPA F7B-8007","500106GT","500206GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24070-51"
"865","PUMP/POMPA F7B-803","500106GT","500206GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24070-3"
"866","PUMP/POMPA F7B-9","500106GT","500206GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-22335-3"
"867","PUMP/POMPA F7B-9","500106GT","500206GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24017-1 PARTLY"
"868","PUMP/POMPA F7B-9","500106GT","500206GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24017-2 PARTLY"
"869","PUMP/POMPA F7B-9","500106GT","500206GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24061-1"
"870","PUMP/POMPA F7B-9","500106GT","500206GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24061-3"
"871","PUMP/POMPA F7B-9","500106GT","500206GT","RK0003",,"JOHNSON PUMP","INBOARD_ENGINES","10-24127-1/2/3"
"872","PUMP/POMPA F7B-9","500106GT","500206GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24139-1"
"873","PUMP/POMPA F7B-9","500106GT","500206GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24139-3"
"874","PUMP/POMPA F7B-9","500106GT","500206GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24139-5"
"875","PUMP/POMPA F7B-9","500106GT","500206GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24139-7"
"876","PUMP/POMPA F7B-9","500106GT","500206GT","RK0003",,"JOHNSON PUMP","INBOARD_ENGINES","10-24179-1"
"877","PUMP/POMPA F7B-9","500106GT","500206GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24244-1"
"878","PUMP/POMPA F7B-9","500106GT","500206GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24253-2"
"879","PUMP/POMPA F7B-9","500106GT","500206GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24253-3"
"880","PUMP/POMPA F7B-9","500106GT","500206GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24277-1"
"881","PUMP/POMPA F7B-9","500106GT","500206GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24277-3"
"882","PUMP/POMPA F7B-9","500106GT","500206GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24277-5"
"883","PUMP/POMPA F7B-9","500106GT","500206GT","RK0003",,"JOHNSON PUMP","INBOARD_ENGINES","10-24280"
"884","PUMP/POMPA F7B-9","500106GT","500206GT","RK0003",,"JOHNSON PUMP","INBOARD_ENGINES","10-24329-1"
"885","PUMP/POMPA F7B-9","500106GT","500206GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24338-01"
"886","PUMP/POMPA F7B-9","500106GT","500206GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24349-01"
"887","PUMP/POMPA F7B-9","500106GT","500206GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24365-01"
"888","PUMP/POMPA F7B-9","500106GT","500206GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24365-02"
"889","PUMP/POMPA F7B-9","500106GT","500206GT","RK0003",,"JOHNSON PUMP","INBOARD_ENGINES","10-24386-01"
"890","PUMP/POMPA F7B-9","500106GT","500206GT","RK0003",,"JOHNSON PUMP","INBOARD_ENGINES","10-24390-01"
"891","PUMP/POMPA F7B-9","500106GT","500206GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24398-01"
"892","PUMP/POMPA F7B-9","500106GT","500206GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24428-01"
"893","PUMP/POMPA F7B-9","500106GT","500206GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24431-01"
"894","PUMP/POMPA F7B-9","500106GT","500206GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24445-01"
"895","PUMP/POMPA F7B-9","500106GT","500206GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24524-01"
"896","PUMP/POMPA F7B-9","500106GT","500206GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24524-03"
"897","PUMP/POMPA F7B-9","500106GT","500206GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24542-01"
"898","PUMP/POMPA F7B-9000","500106GT","500206GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24014-1"
"899","PUMP/POMPA F7B-9000","500106GT","500206GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24183-1"
"900","PUMP/POMPA F7B-9001","500106GT","500206GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24014-2"
"901","PUMP/POMPA F7B-902","500106GT","500206GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-11236-3"
"902","PUMP/POMPA F7B-902","500106GT","500206GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24061-2"
"903","PUMP/POMPA F7B-902","500106GT","500206GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24253-1"
"904","PUMP/POMPA F7B-902","500106GT","500206GT","RK0003",,"JOHNSON PUMP","INBOARD_ENGINES","10-24277-2/4"
"905","PUMP/POMPA F7B-902","500106GT","500206GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24394-02"
"906","PUMP/POMPA F7B-903","500106GT","500206GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-11236-2"
"907","PUMP/POMPA F7B-903","500106GT","500206GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-21876-2"
"908","PUMP/POMPA F7B-903","500106GT","500206GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-22335-2 PARTLY"
"909","PUMP/POMPA F7B-903","500106GT","500206GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24017-1"
"910","PUMP/POMPA F7B-903","500106GT","500206GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24017-2 PARTLY"
"911","PUMP/POMPA F7B-903","500106GT","500206GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24017-2"
"912","PUMP/POMPA F7B-903","500106GT","500206GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24017-3"
"913","PUMP/POMPA F7B-903","500106GT","500206GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24017-4"
"915","PUMP/POMPA F7B-903","500106GT","500206GT","RK0003",,"JOHNSON PUMP","INBOARD_ENGINES","10-24126-1"
"916","PUMP/POMPA F7B-903","500106GT","500206GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24126-2"
"917","PUMP/POMPA F7B-903","500106GT","500206GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24126-1/2/3"
"918","PUMP/POMPA F7B-903","500106GT","500206GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24139-2"
"919","PUMP/POMPA F7B-903","500106GT","500206GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24139-4"
"920","PUMP/POMPA F7B-903","500106GT","500206GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24179-1"
"921","PUMP/POMPA F7B-903","500106GT","500206GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24179-2"
"922","PUMP/POMPA F7B-903","500106GT","500206GT","RK0003",,"JOHNSON PUMP","INBOARD_ENGINES","10-24218-1"
"923","PUMP/POMPA F7B-903","500106GT","500206GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24244-2"
"924","PUMP/POMPA F7B-903","500106GT","500206GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24475-02"
"925","PUMP/POMPA F7B-9030","500106GT","500206GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24014-4"
"926","PUMP/POMPA F7B-99","500106GT","500206GT",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24126-2"
"927","PUMP/POMPA F8B-3","500135T","500235T",,,"JOHNSON PUMP","INBOARD_ENGINES","10-13024-1"
"928","PUMP/POMPA F8B-3000","500135T","500235T",,,"JOHNSON PUMP","INBOARD_ENGINES","10-13024-1"
"929","PUMP/POMPA F8B-3000-TSS","500135T","500235T",,,"JOHNSON PUMP","INBOARD_ENGINES","10-13175-01"
"930","PUMP/POMPA F8B-303","500135T","500235T",,,"JOHNSON PUMP","INBOARD_ENGINES","10-13024-3"
"931","PUMP/POMPA F8B-3030","500135T","500235T",,,"JOHNSON PUMP","INBOARD_ENGINES","10-13024-3"
"932","PUMP/POMPA F8B-39","500135T","500235T",,,"JOHNSON PUMP","INBOARD_ENGINES","10-13024-2"
"933","PUMP/POMPA F8B-393","500135T","500235T",,,"JOHNSON PUMP","INBOARD_ENGINES","10-13024-4"
"934","PUMP/POMPA F8B-5","500135T","500235T",,,"JOHNSON PUMP","INBOARD_ENGINES","10-13025-"
"935","PUMP/POMPA F8B-5000","500135T","500235T",,,"JOHNSON PUMP","INBOARD_ENGINES","10-13025-99"
"936","PUMP/POMPA F8B-5000-TSS","500135T","500235T",,,"JOHNSON PUMP","INBOARD_ENGINES","10-13176-99"
"937","PUMP/POMPA F8B-5001","500135T","500235T",,,"JOHNSON PUMP","INBOARD_ENGINES","10-13022-99"
"938","PUMP/POMPA F8B-50017","500135T","500235T",,,"JOHNSON PUMP","INBOARD_ENGINES","10-13022-95"
"939","PUMP/POMPA F8B-50017","500135T","500235T",,,"JOHNSON PUMP","INBOARD_ENGINES","10-13022-96"
"940","PUMP/POMPA F8B-50017","500135T","500235T",,,"JOHNSON PUMP","INBOARD_ENGINES","10-13022-98"
"941","PUMP/POMPA F8B-8","500135T","500235T",,,"JOHNSON PUMP","INBOARD_ENGINES","10-13021-1"
"942","PUMP/POMPA F8B-8","500135T","500235T",,,"JOHNSON PUMP","INBOARD_ENGINES","10-13021-17"
"943","PUMP/POMPA F8B-8007","500135T","500235T",,,"JOHNSON PUMP","INBOARD_ENGINES","10-13021-9"
"944","PUMP/POMPA F8B-8007","500135T","500235T",,,"JOHNSON PUMP","INBOARD_ENGINES","10-13021-91"
"945","PUMP/POMPA F8B-8007","500135T","500235T",,,"JOHNSON PUMP","INBOARD_ENGINES","10-13021-95"
"946","PUMP/POMPA F8B-8007","500135T","500235T",,,"JOHNSON PUMP","INBOARD_ENGINES","10-13021-96"
"947","PUMP/POMPA F8B-89","500135T","500235T",,,"JOHNSON PUMP","INBOARD_ENGINES","10-13021-2"
"948","PUMP/POMPA F8B-9","500135T","500235T",,,"JOHNSON PUMP","INBOARD_ENGINES","10-13088-01"
"949","PUMP/POMPA F8B-9","500135T","500235T",,,"JOHNSON PUMP","INBOARD_ENGINES","10-13096-01"
"950","PUMP/POMPA F8B-9","500135T","500235T",,,"JOHNSON PUMP","INBOARD_ENGINES","10-13096-02"
"951","PUMP/POMPA F8B-9","500135T","500235T",,,"JOHNSON PUMP","INBOARD_ENGINES","10-13180-01"
"952","PUMP/POMPA F8B-9","500135T","500235T",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24181-1"
"953","PUMP/POMPA F8B-9","500135T","500235T",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24181-3"
"954","PUMP/POMPA F8B-900","500135T","500235T",,,"JOHNSON PUMP","INBOARD_ENGINES","10-22096-1"
"955","PUMP/POMPA F8B-900","500135T","500235T",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24096-1"
"956","PUMP/POMPA F8B-902","500135T","500235T",,,"JOHNSON PUMP","INBOARD_ENGINES","10-22096-3"
"957","PUMP/POMPA F8B-902","500135T","500235T",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24096-4"
"958","PUMP/POMPA F8B-903","500135T","500235T",,,"JOHNSON PUMP","INBOARD_ENGINES","10-21915-1"
"959","PUMP/POMPA F8B-903","500135T","500235T",,,"JOHNSON PUMP","INBOARD_ENGINES","10-21915-2"
"960","PUMP/POMPA F8B-903","500135T","500235T",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24181-4"
"961","PUMP/POMPA F8B-905","500135T","500235T",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24130-3"
"962","PUMP/POMPA F8B-905","500135T","500235T",,,"JOHNSON PUMP","INBOARD_ENGINES","10-24130-4"
"963","PUMP/POMPA F9B/F7B-9","500115T",,,,"JOHNSON PUMP","INBOARD_ENGINES","10-13064-1"
"964","PUMP/POMPA F9B/F7B-9","500115T",,,,"JOHNSON PUMP","INBOARD_ENGINES","10-13064-2"
"965","PUMP/POMPA F9B-3000","500145GT",,,"HIGH PRESSURE/ALTA PRESSIONE","JOHNSON PUMP","INBOARD_ENGINES",
"966","PUMP/POMPA F9B-3000","500115T",,,,"JOHNSON PUMP","INBOARD_ENGINES","10-13026-1"
"967","PUMP/POMPA F9B-3000-TSS","500115T",,,,"JOHNSON PUMP","INBOARD_ENGINES","10-13177-01"
"968","PUMP/POMPA F9B-3007","500115T",,,,"JOHNSON PUMP","INBOARD_ENGINES","10-13026-7"
"969","PUMP/POMPA F9B-303","500115T",,,,"JOHNSON PUMP","INBOARD_ENGINES","10-13026-2"
"970","PUMP/POMPA F9B-3600","500145GT",,,,"JOHNSON PUMP","INBOARD_ENGINES","10-13026-4"
"971","PUMP/POMPA F9B-5","500115T",,,,"JOHNSON PUMP","INBOARD_ENGINES","10-13027-"
"972","PUMP/POMPA F9B-5600","500145GT",,,,"JOHNSON PUMP","INBOARD_ENGINES","10-13027-99"
"973","PUMP/POMPA F9B-5600-TSS","500145GT",,,,"JOHNSON PUMP","INBOARD_ENGINES","10-13178-99"
"974","PUMP/POMPA F9B-5607","500145GT",,,,"JOHNSON PUMP","INBOARD_ENGINES","10-13027-98"
"975","PUMP/POMPA F9B-9","500145GT",,,,"JOHNSON PUMP","INBOARD_ENGINES","10-13080-01"
"976","PUMP/POMPA F9B-9","500145GT",,,,"JOHNSON PUMP","INBOARD_ENGINES","10-13095-01"
"977","PUMP/POMPA F9B-9","500145GT",,,,"JOHNSON PUMP","INBOARD_ENGINES","10-13095-02"
"978","PUMP/POMPA F9B-9","500115T",,,,"JOHNSON PUMP","INBOARD_ENGINES","10-24072-1"
"979","PUMP/POMPA F9B-9","500115T",,,,"JOHNSON PUMP","INBOARD_ENGINES","10-24239-1"
"981","PUMP/POMPA F9B-9","500115T",,,,"JOHNSON PUMP","INBOARD_ENGINES","10-24239-2"
"982","PUMP/POMPA F9B-9","500145GT",,,,"JOHNSON PUMP","INBOARD_ENGINES","10-24430-01"
"983","PUMP/POMPA F9B-900","500115T",,,,"JOHNSON PUMP","INBOARD_ENGINES","10-24090-1"
"984","PUMP/POMPA F9B-905","500145GT",,,,"JOHNSON PUMP","INBOARD_ENGINES","10-13166-01"
"985","PUMP/POMPA F9B-905","500145GT",,,,"JOHNSON PUMP","INBOARD_ENGINES","10-13171-01"
"986","PUMP/POMPA F9B-905","500145GT",,,,"JOHNSON PUMP","INBOARD_ENGINES","10-24006-1"
"987","PUMP/POMPA F9B-905","500145GT",,,,"JOHNSON PUMP","INBOARD_ENGINES","10-24006-2"
"988","PUMP/POMPA F9B-905","500145GT",,,,"JOHNSON PUMP","INBOARD_ENGINES","10-24308-02"
"989","PUMP/POMPA F9B-905","500145GT",,,,"JOHNSON PUMP","INBOARD_ENGINES","10-24308-03"
"990","PUMP/POMPA F35B/F35B-9","500121GX",,,,"JOHNSON PUMP","INBOARD_ENGINES","10-24143-1"
"991","PUMP/POMPA F35B/F35B-9","500121GX",,,,"JOHNSON PUMP","INBOARD_ENGINES","10-35157-3"
"992","PUMP/POMPA F35B-8","500121GX",,"RK0007",,"JOHNSON PUMP","INBOARD_ENGINES","10-35038-1"
"993","PUMP/POMPA F35B-8","500121GX",,"RK0007",,"JOHNSON PUMP","INBOARD_ENGINES","10-35038-2"
"994","PUMP/POMPA F35B-8","500121GX",,"RK0007",,"JOHNSON PUMP","INBOARD_ENGINES","10-35038-3"
"995","PUMP/POMPA F35B-8","500121GX",,"RK0007",,"JOHNSON PUMP","INBOARD_ENGINES","10-35038-4"
"996","PUMP/POMPA F35B-8","500121GX",,"RK0007",,"JOHNSON PUMP","INBOARD_ENGINES","10-35038-5"
"997","PUMP/POMPA F35B-8","500121GX",,"RK0007",,"JOHNSON PUMP","INBOARD_ENGINES","10-35038-6"
"998","PUMP/POMPA F35B-8","500121GX",,"RK0007",,"JOHNSON PUMP","INBOARD_ENGINES","10-35038-7"
"999","PUMP/POMPA F35B-8","500121GX",,"RK0007",,"JOHNSON PUMP","INBOARD_ENGINES","10-35038-8"
"1000","PUMP/POMPA F35B-8007","500121GX",,,,"JOHNSON PUMP","INBOARD_ENGINES","10-35038-41"
"1001","PUMP/POMPA F35B-8007","500121GX",,,,"JOHNSON PUMP","INBOARD_ENGINES","10-35038-9"
"1002","PUMP/POMPA F35B-802","500121GX",,,,"JOHNSON PUMP","INBOARD_ENGINES","10-35038-2"
"1003","PUMP/POMPA F35B-8027","500121GX",,,,"JOHNSON PUMP","INBOARD_ENGINES","10-35038-5"
"1004","PUMP/POMPA F35B-8027","500121GX",,,,"JOHNSON PUMP","INBOARD_ENGINES","10-35038-9"
"1005","PUMP/POMPA F35B-9","500121GX",,"RK0007",,"JOHNSON PUMP","INBOARD_ENGINES","10-234211-1"
"1006","PUMP/POMPA F35B-9","500121GX",,,,"JOHNSON PUMP","INBOARD_ENGINES","10-24143-3"
"1007","PUMP/POMPA F35B-9","500121GX",,,,"JOHNSON PUMP","INBOARD_ENGINES","10-24143-5"
"1008","PUMP/POMPA F35B-9","500121GX",,,,"JOHNSON PUMP","INBOARD_ENGINES","10-24178-3"
"1009","PUMP/POMPA F35B-9","500121GX",,"RK0007",,"JOHNSON PUMP","INBOARD_ENGINES","10-32415-1"
"1010","PUMP/POMPA F35B-9","500121GX",,"RK0007",,"JOHNSON PUMP","INBOARD_ENGINES","10-35015-1"
